iter	Passed	Remaining
0	162	162054
1	165	82367
2	168	56076
3	172	42839
4	175	34940
5	179	29688
6	183	26054
7	186	23151
8	189	20831
9	191	18988
10	195	17562
11	198	16343
12	201	15262
13	203	14311
14	205	13468
15	208	12842
16	212	12285
17	214	11710
18	217	11237
19	219	10763
20	222	10380
21	225	10031
22	227	9652
23	229	9327
24	231	9009
25	233	8750
26	235	8492
27	238	8279
28	241	8077
29	243	7887
30	247	7727
31	251	7595
32	254	7450
33	255	7261
34	257	7092
35	259	6938
36	260	6778
37	261	6625
38	263	6491
39	265	6363
40	266	6244
41	268	6119
42	270	6017
43	272	5916
44	273	5814
45	275	5714
46	277	5622
47	280	5560
48	284	5514
49	287	5464
50	291	5418
51	294	5370
52	297	5319
53	301	5274
54	303	5207
55	307	5178
56	310	5135
57	314	5099
58	317	5070
59	322	5056
60	326	5027
61	329	4990
62	332	4951
63	336	4917
64	339	4886
65	343	4855
66	346	4822
67	348	4774
68	352	4752
69	356	4729
70	358	4691
71	361	4662
72	364	4631
73	368	4609
74	371	4584
75	375	4564
76	378	4533
77	381	4506
78	384	4483
79	387	4461
80	391	4442
81	395	4424
82	397	4387
83	400	4363
84	402	4336
85	405	4306
86	408	4283
87	411	4262
88	414	4240
89	416	4215
90	418	4182
91	419	4144
92	422	4116
93	424	4092
94	427	4071
95	428	4039
96	431	4013
97	433	3990
98	436	3975
99	440	3961
100	444	3956
101	448	3946
102	451	3931
103	454	3916
104	456	3893
105	460	3882
106	463	3870
107	467	3860
108	470	3846
109	473	3830
110	476	3814
111	479	3799
112	482	3783
113	485	3769
114	488	3758
115	491	3746
116	494	3733
117	498	3722
118	501	3715
119	504	3701
120	507	3689
121	509	3668
122	512	3657
123	515	3643
124	517	3622
125	519	3603
126	521	3583
127	523	3564
128	525	3549
129	528	3535
130	530	3521
131	533	3507
132	536	3494
133	538	3477
134	540	3462
135	542	3446
136	544	3432
137	547	3417
138	549	3401
139	551	3385
140	553	3370
141	554	3352
142	556	3337
143	559	3327
144	562	3314
145	564	3302
146	567	3291
147	569	3280
148	572	3269
149	576	3264
150	578	3251
151	579	3234
152	582	3221
153	584	3213
154	586	3196
155	588	3185
156	591	3175
157	593	3163
158	596	3154
159	597	3138
160	599	3123
161	601	3112
162	604	3106
163	607	3097
164	609	3085
165	612	3079
166	615	3068
167	617	3057
168	620	3051
169	622	3038
170	624	3025
171	626	3016
172	629	3007
173	630	2994
174	633	2985
175	636	2981
176	639	2974
177	642	2968
178	645	2960
179	648	2952
180	651	2948
181	654	2940
182	657	2935
183	660	2929
184	663	2924
185	667	2923
186	669	2911
187	672	2904
188	674	2895
189	677	2888
190	680	2884
191	684	2879
192	686	2871
193	689	2862
194	691	2854
195	694	2850
196	697	2844
197	699	2834
198	702	2827
199	704	2819
200	708	2816
201	711	2810
202	714	2804
203	717	2800
204	720	2794
205	722	2784
206	725	2780
207	728	2773
208	730	2764
209	733	2757
210	736	2752
211	739	2747
212	742	2742
213	744	2735
214	747	2729
215	749	2721
216	752	2715
217	756	2713
218	759	2707
219	761	2700
220	764	2693
221	766	2686
222	769	2682
223	772	2676
224	774	2667
225	777	2662
226	778	2651
227	780	2643
228	784	2640
229	787	2634
230	790	2630
231	793	2625
232	795	2619
233	798	2615
234	802	2611
235	805	2609
236	808	2603
237	811	2598
238	815	2596
239	818	2592
240	820	2584
241	822	2577
242	825	2572
243	829	2569
244	832	2565
245	834	2557
246	836	2549
247	838	2542
248	840	2534
249	843	2530
250	846	2526
251	848	2518
252	850	2510
253	851	2502
254	853	2493
255	856	2489
256	860	2486
257	862	2481
258	864	2474
259	867	2468
260	870	2464
261	873	2461
262	876	2457
263	880	2454
264	882	2446
265	884	2441
266	887	2437
267	890	2432
268	892	2426
269	895	2419
270	897	2415
271	900	2409
272	903	2406
273	906	2400
274	908	2395
275	911	2390
276	914	2386
277	916	2379
278	919	2375
279	921	2369
280	924	2364
281	927	2360
282	930	2356
283	934	2354
284	936	2349
285	939	2344
286	940	2337
287	942	2330
288	945	2326
289	948	2323
290	951	2318
291	954	2315
292	957	2311
293	960	2306
294	964	2304
295	966	2298
296	969	2294
297	972	2290
298	974	2284
299	976	2277
300	978	2271
301	979	2263
302	980	2255
303	982	2248
304	983	2240
305	984	2233
306	986	2225
307	987	2219
308	989	2212
309	990	2205
310	993	2199
311	995	2194
312	996	2187
313	998	2181
314	1000	2174
315	1001	2168
316	1003	2161
317	1005	2157
318	1009	2154
319	1012	2150
320	1015	2147
321	1018	2143
322	1021	2141
323	1024	2138
324	1028	2135
325	1031	2131
326	1034	2128
327	1037	2124
328	1039	2120
329	1041	2114
330	1044	2110
331	1046	2104
332	1048	2099
333	1050	2095
334	1052	2090
335	1054	2084
336	1056	2077
337	1057	2071
338	1059	2066
339	1061	2060
340	1062	2054
341	1064	2048
342	1066	2042
343	1068	2037
344	1069	2031
345	1071	2025
346	1072	2018
347	1074	2012
348	1075	2006
349	1076	2000
350	1079	1995
351	1080	1989
352	1082	1983
353	1083	1976
354	1084	1970
355	1085	1964
356	1087	1958
357	1088	1952
358	1090	1946
359	1091	1940
360	1092	1934
361	1094	1928
362	1096	1923
363	1097	1918
364	1099	1912
365	1101	1907
366	1102	1902
367	1104	1896
368	1106	1891
369	1107	1886
370	1109	1881
371	1111	1877
372	1113	1872
373	1115	1867
374	1117	1862
375	1119	1857
376	1121	1853
377	1123	1848
378	1125	1844
379	1127	1840
380	1129	1835
381	1131	1830
382	1133	1825
383	1134	1820
384	1137	1816
385	1140	1814
386	1143	1810
387	1145	1806
388	1147	1801
389	1149	1798
390	1151	1794
391	1154	1790
392	1157	1787
393	1159	1783
394	1161	1779
395	1163	1775
396	1166	1771
397	1168	1766
398	1170	1763
399	1173	1759
400	1175	1756
401	1179	1753
402	1181	1750
403	1184	1747
404	1187	1744
405	1189	1740
406	1192	1737
407	1194	1733
408	1197	1730
409	1200	1727
410	1203	1725
411	1207	1723
412	1210	1719
413	1213	1717
414	1216	1715
415	1220	1713
416	1223	1710
417	1226	1707
418	1229	1704
419	1231	1700
420	1233	1697
421	1236	1693
422	1238	1688
423	1241	1686
424	1244	1683
425	1246	1679
426	1248	1675
427	1250	1671
428	1253	1668
429	1256	1665
430	1259	1662
431	1262	1659
432	1264	1656
433	1267	1653
434	1270	1649
435	1274	1648
436	1277	1645
437	1280	1643
438	1283	1640
439	1285	1636
440	1288	1633
441	1291	1630
442	1294	1627
443	1297	1625
444	1301	1622
445	1304	1620
446	1307	1617
447	1310	1614
448	1313	1611
449	1315	1607
450	1318	1605
451	1320	1601
452	1322	1597
453	1325	1594
454	1328	1591
455	1330	1587
456	1334	1585
457	1335	1580
458	1338	1578
459	1341	1575
460	1345	1572
461	1349	1571
462	1352	1568
463	1355	1566
464	1358	1563
465	1362	1561
466	1365	1558
467	1368	1555
468	1371	1552
469	1374	1549
470	1377	1546
471	1381	1544
472	1383	1540
473	1384	1536
474	1387	1533
475	1390	1530
476	1393	1528
477	1396	1525
478	1399	1521
479	1400	1517
480	1402	1513
481	1404	1509
482	1407	1507
483	1410	1503
484	1412	1499
485	1414	1495
486	1416	1492
487	1419	1488
488	1422	1486
489	1425	1483
490	1428	1480
491	1431	1477
492	1434	1475
493	1437	1472
494	1441	1470
495	1443	1466
496	1444	1462
497	1446	1458
498	1449	1455
499	1452	1452
500	1455	1449
501	1457	1446
502	1460	1442
503	1463	1439
504	1466	1437
505	1469	1434
506	1471	1430
507	1473	1427
508	1477	1425
509	1480	1422
510	1484	1420
511	1487	1417
512	1489	1414
513	1491	1409
514	1493	1406
515	1496	1403
516	1499	1400
517	1502	1397
518	1505	1394
519	1507	1391
520	1511	1389
521	1514	1387
522	1516	1382
523	1519	1380
524	1521	1376
525	1525	1375
526	1529	1372
527	1532	1369
528	1534	1365
529	1536	1362
530	1538	1359
531	1543	1357
532	1544	1353
533	1546	1349
534	1549	1346
535	1552	1343
536	1555	1341
537	1558	1338
538	1561	1335
539	1562	1331
540	1565	1327
541	1568	1325
542	1571	1322
543	1574	1319
544	1577	1316
545	1579	1312
546	1581	1309
547	1582	1305
548	1584	1301
549	1586	1298
550	1588	1294
551	1590	1290
552	1591	1286
553	1593	1282
554	1595	1278
555	1596	1275
556	1598	1271
557	1600	1267
558	1601	1263
559	1603	1259
560	1604	1255
561	1606	1251
562	1607	1247
563	1609	1244
564	1610	1239
565	1612	1236
566	1613	1232
567	1616	1229
568	1618	1225
569	1620	1222
570	1623	1219
571	1625	1216
572	1628	1213
573	1632	1211
574	1635	1208
575	1638	1206
576	1641	1203
577	1645	1201
578	1649	1199
579	1652	1196
580	1654	1193
581	1657	1190
582	1662	1189
583	1665	1186
584	1668	1183
585	1670	1180
586	1673	1177
587	1676	1174
588	1680	1172
589	1684	1170
590	1686	1167
591	1689	1164
592	1692	1161
593	1694	1158
594	1697	1155
595	1699	1151
596	1701	1148
597	1703	1145
598	1706	1142
599	1708	1138
600	1710	1135
601	1712	1131
602	1714	1129
603	1716	1125
604	1719	1122
605	1721	1119
606	1723	1116
607	1725	1112
608	1726	1108
609	1728	1105
610	1730	1101
611	1731	1098
612	1733	1094
613	1736	1091
614	1737	1087
615	1739	1084
616	1740	1080
617	1742	1077
618	1744	1073
619	1746	1070
620	1747	1066
621	1749	1063
622	1752	1060
623	1754	1057
624	1756	1053
625	1757	1050
626	1759	1046
627	1761	1043
628	1763	1040
629	1766	1037
630	1768	1034
631	1770	1030
632	1771	1027
633	1773	1023
634	1775	1020
635	1777	1017
636	1779	1014
637	1781	1010
638	1782	1007
639	1784	1003
640	1786	1000
641	1787	996
642	1788	993
643	1790	989
644	1792	986
645	1793	982
646	1795	979
647	1796	976
648	1798	972
649	1800	969
650	1802	966
651	1803	962
652	1805	959
653	1807	956
654	1810	953
655	1811	950
656	1813	946
657	1815	943
658	1817	940
659	1819	937
660	1820	933
661	1822	930
662	1824	927
663	1826	924
664	1828	921
665	1830	917
666	1832	914
667	1834	911
668	1835	908
669	1837	904
670	1839	901
671	1841	898
672	1842	895
673	1844	892
674	1846	888
675	1847	885
676	1849	882
677	1851	879
678	1852	875
679	1854	872
680	1856	869
681	1858	866
682	1859	863
683	1861	859
684	1862	856
685	1864	853
686	1865	849
687	1866	846
688	1868	843
689	1870	840
690	1871	837
691	1873	833
692	1874	830
693	1875	827
694	1877	823
695	1878	820
696	1879	817
697	1881	813
698	1882	810
699	1884	807
700	1885	804
701	1887	801
702	1888	797
703	1889	794
704	1891	791
705	1892	788
706	1893	784
707	1895	781
708	1896	778
709	1898	775
710	1900	772
711	1901	769
712	1903	766
713	1904	762
714	1906	759
715	1908	756
716	1909	753
717	1911	750
718	1913	747
719	1915	744
720	1917	741
721	1918	738
722	1920	735
723	1921	732
724	1923	729
725	1924	726
726	1926	723
727	1928	720
728	1930	717
729	1931	714
730	1932	711
731	1934	708
732	1935	704
733	1936	701
734	1937	698
735	1939	695
736	1941	692
737	1942	689
738	1944	686
739	1945	683
740	1947	680
741	1948	677
742	1950	674
743	1951	671
744	1953	668
745	1954	665
746	1955	662
747	1957	659
748	1958	656
749	1960	653
750	1962	650
751	1964	647
752	1966	645
753	1967	641
754	1969	639
755	1971	636
756	1974	633
757	1976	631
758	1978	628
759	1979	625
760	1981	622
761	1982	619
762	1984	616
763	1985	613
764	1986	610
765	1988	607
766	1990	604
767	1991	601
768	1993	598
769	1995	596
770	1996	593
771	1998	590
772	2000	587
773	2001	584
774	2003	581
775	2005	578
776	2006	575
777	2008	573
778	2009	570
779	2010	567
780	2011	564
781	2012	561
782	2014	558
783	2015	555
784	2016	552
785	2018	549
786	2020	546
787	2021	543
788	2022	540
789	2023	537
790	2024	534
791	2025	531
792	2026	529
793	2028	526
794	2029	523
795	2030	520
796	2031	517
797	2033	514
798	2034	511
799	2035	508
800	2036	506
801	2037	503
802	2038	500
803	2039	497
804	2040	494
805	2042	491
806	2043	488
807	2044	485
808	2045	482
809	2047	480
810	2048	477
811	2049	474
812	2051	471
813	2052	469
814	2053	466
815	2055	463
816	2056	460
817	2057	457
818	2059	455
819	2060	452
820	2061	449
821	2063	446
822	2065	444
823	2066	441
824	2068	438
825	2069	435
826	2070	433
827	2072	430
828	2073	427
829	2075	425
830	2076	422
831	2078	419
832	2079	416
833	2081	414
834	2082	411
835	2084	408
836	2085	406
837	2087	403
838	2088	400
839	2090	398
840	2091	395
841	2094	392
842	2095	390
843	2097	387
844	2098	385
845	2100	382
846	2102	379
847	2104	377
848	2105	374
849	2107	371
850	2109	369
851	2111	366
852	2113	364
853	2115	361
854	2117	359
855	2119	356
856	2121	353
857	2123	351
858	2126	349
859	2128	346
860	2130	343
861	2132	341
862	2134	338
863	2137	336
864	2140	334
865	2142	331
866	2145	329
867	2147	326
868	2150	324
869	2152	321
870	2155	319
871	2157	316
872	2158	314
873	2160	311
874	2162	308
875	2163	306
876	2165	303
877	2166	301
878	2168	298
879	2170	295
880	2171	293
881	2173	290
882	2175	288
883	2176	285
884	2178	283
885	2180	280
886	2182	278
887	2185	275
888	2187	273
889	2190	270
890	2192	268
891	2194	265
892	2197	263
893	2199	260
894	2201	258
895	2204	255
896	2207	253
897	2209	250
898	2212	248
899	2216	246
900	2218	243
901	2221	241
902	2223	238
903	2225	236
904	2228	233
905	2230	231
906	2233	228
907	2235	226
908	2237	223
909	2239	221
910	2240	218
911	2242	216
912	2245	213
913	2247	211
914	2249	208
915	2251	206
916	2253	203
917	2254	201
918	2257	198
919	2259	196
920	2261	193
921	2263	191
922	2265	189
923	2268	186
924	2270	184
925	2272	181
926	2274	179
927	2275	176
928	2277	174
929	2278	171
930	2279	168
931	2281	166
932	2283	163
933	2284	161
934	2286	158
935	2288	156
936	2289	153
937	2291	151
938	2292	148
939	2293	146
940	2294	143
941	2296	141
942	2297	138
943	2298	136
944	2299	133
945	2301	131
946	2303	128
947	2305	126
948	2306	123
949	2308	121
950	2309	119
951	2311	116
952	2313	114
953	2314	111
954	2315	109
955	2317	106
956	2318	104
957	2320	101
958	2321	99
959	2322	96
960	2323	94
961	2325	91
962	2326	89
963	2328	86
964	2329	84
965	2330	82
966	2332	79
967	2333	77
968	2335	74
969	2336	72
970	2337	69
971	2339	67
972	2340	64
973	2341	62
974	2342	60
975	2344	57
976	2345	55
977	2347	52
978	2348	50
979	2349	47
980	2351	45
981	2352	43
982	2353	40
983	2355	38
984	2356	35
985	2358	33
986	2359	31
987	2360	28
988	2363	26
989	2364	23
990	2366	21
991	2367	19
992	2368	16
993	2370	14
994	2371	11
995	2373	9
996	2374	7
997	2375	4
998	2377	2
999	2379	0
